RegionID,SizeRank,RegionName,RegionType,StateName,date,zhvi,year,month,year_month
44,6,Ohio,state,,2015-05-31,121305.38639891589,2015,5,2015-05
16,7,Georgia,state,,2015-05-31,155924.28388203649,2015,5,2015-05
36,8,North Carolina,state,,2015-05-31,163537.21304410906,2015,5,2015-05
30,9,Michigan,state,,2015-05-31,127374.94948944282,2015,5,2015-05
40,10,New Jersey,state,,2015-05-31,299381.94328948326,2015,5,2015-05
56,11,Virginia,state,,2015-05-31,241302.9478177283,2015,5,2015-05
59,12,Washington,state,,2015-05-31,278008.91533888155,2015,5,2015-05
8,13,Arizona,state,,2015-05-31,201872.37312911285,2015,5,2015-05
26,14,Massachusetts,state,,2015-05-31,345819.2306017293,2015,5,2015-05
53,15,Tennessee,state,,2015-05-31,153429.03867493675,2015,5,2015-05
22,16,Indiana,state,,2015-05-31,123145.90306742012,2015,5,2015-05
27,17,Maryland,state,,2015-05-31,277223.62532468216,2015,5,2015-05
32,18,Missouri,state,,2015-05-31,135373.4308978016,2015,5,2015-05
60,19,Wisconsin,state,,2015-05-31,163224.52375593522,2015,5,2015-05
10,20,Colorado,state,,2015-05-31,289177.0170370749,2015,5,2015-05
31,21,Minnesota,state,,2015-05-31,195788.09690296568,2015,5,2015-05
51,22,South Carolina,state,,2015-05-31,155040.72436839854,2015,5,2015-05
4,23,Alabama,state,,2015-05-31,136287.35004574328,2015,5,2015-05
25,24,Louisiana,state,,2015-05-31,176304.35445611403,2015,5,2015-05
24,25,Kentucky,state,,2015-05-31,119989.20384367836,2015,5,2015-05
46,26,Oregon,state,,2015-05-31,260472.62793148044,2015,5,2015-05
45,27,Oklahoma,state,,2015-05-31,123894.56409210691,2015,5,2015-05
11,28,Connecticut,state,,2015-05-31,241079.32257062517,2015,5,2015-05
55,30,Utah,state,,2015-05-31,238958.37722298727,2015,5,2015-05
19,31,Iowa,state,,2015-05-31,134918.39383954369,2015,5,2015-05
42,32,Nevada,state,,2015-05-31,208892.31151509867,2015,5,2015-05
6,33,Arkansas,state,,2015-05-31,127634.45708297045,2015,5,2015-05
34,34,Mississippi,state,,2015-05-31,127123.7550411378,2015,5,2015-05
23,35,Kansas,state,,2015-05-31,128023.56518030164,2015,5,2015-05
41,36,New Mexico,state,,2015-05-31,171390.24581344498,2015,5,2015-05
38,37,Nebraska,state,,2015-05-31,142944.56430839584,2015,5,2015-05
20,38,Idaho,state,,2015-05-31,189127.9469773567,2015,5,2015-05
61,39,West Virginia,state,,2015-05-31,108206.21531138018,2015,5,2015-05
18,40,Hawaii,state,,2015-05-31,504491.7762236647,2015,5,2015-05
39,41,New Hampshire,state,,2015-05-31,228616.6554137369,2015,5,2015-05
28,42,Maine,state,,2015-05-31,186880.53210663865,2015,5,2015-05
50,43,Rhode Island,state,,2015-05-31,235377.7854152134,2015,5,2015-05
35,44,Montana,state,,2015-05-31,213808.52300997803,2015,5,2015-05
13,45,Delaware,state,,2015-05-31,238067.93951116872,2015,5,2015-05
52,46,South Dakota,state,,2015-05-31,170511.0529350221,2015,5,2015-05
37,47,North Dakota,state,,2015-05-31,220498.2156239342,2015,5,2015-05
3,48,Alaska,state,,2015-05-31,272258.1576887504,2015,5,2015-05
12,49,District of Columbia,state,,2015-05-31,478782.33204957726,2015,5,2015-05
58,50,Vermont,state,,2015-05-31,230494.6163489427,2015,5,2015-05
62,51,Wyoming,state,,2015-05-31,222631.25228046285,2015,5,2015-05
9,0,California,state,,2015-06-30,420209.3622648938,2015,6,2015-06
54,1,Texas,state,,2015-06-30,169775.76349155002,2015,6,2015-06
14,2,Florida,state,,2015-06-30,181779.4792377197,2015,6,2015-06
43,3,New York,state,,2015-06-30,272535.0215480734,2015,6,2015-06
